text;intent;slots
What is the ideal watering schedule for a ZZ Plant;plant_caretaking_advise;O O O O B-AdviceType O O O B-PlantName I-PlantName 
My ZZ plant has brown spots on its leaves whats wrong Is there a cure;plant_disease_advise;O B-PlantName O O B-Symptom I-Symptom O O B-Symptom O O O O O O 
What is a good beginnerfriendly succulent to purchase;plant_purchasing_advise;O O O O O I-PlantType O O 
What kind of soil is best for my snake plant;plant_caretaking_advise;O O O B-AdviceType O O O O B-PlantName I-PlantName 
Can I propagate a rubber plant from a leaf cutting;plant_caretaking_advise;O O B-AdviceType O B-PlantName I-PlantName O O O O 
What are some animalfriendly plants I should consider buying for my indoor garden;plant_purchasing_advise;O O O O I-PlantType O O O O O O B-Environment I-Environment 
How do I treat root rot in a fiddle leaf fig;plant_disease_advise;O O O O B-Symptom I-Symptom O O B-PlantName I-PlantName I-PlantName 
Which indoor plants are best for improving air quality;plant_purchasing_advise;O O O O O O B-PlantType I-PlantType I-PlantType 
My aloe plant has started wilting what should I do;plant_caretaking_advise;O B-PlantName I-PlantName O O B-Symptom O O O O 
What’s the best way to prevent powdery mildew on my indoor plants;plant_disease_advise;O O O O O O B-Symptom I-Symptom O O B-Environment I-Environment 
How do I repot my monstera without damaging the roots;plant_caretaking_advise;O O O B-AdviceType O B-PlantName O O O O 
Can you recommend a flowering plant that does well in partial shade;plant_purchasing_advise;O O O O B-PlantType I-PlantType O O O O B-PlantSpecification I-PlantSpecification 
My Boston fern has brown fronds is it a disease or a lack of watering;plant_disease_advise;O B-PlantName I-PlantName O B-Symptom I-Symptom O O O O O O O O O 
Can you suggest an indoor plant that is safe for cats;plant_purchasing_advise;O O O O I-PlantType I-PlantType O O B-PlantType O B-Environment 
How often should I water my Peace Lily;plant_caretaking_advise;O O O O B-AdviceType O B-PlantName I-PlantName 
My rubber plant has leaf tip burn What might be the problem;plant_disease_advise;O B-PlantName I-PlantName O B-Symptom I-Symptom I-Symptom O O O O O 
What type of plant can add humidity to my home;plant_purchasing_advise;O O O O O B-PlantType I-PlantType O O B-Environment 
How should I care for my indoor bamboo plant;plant_caretaking_advise;O O O B-AdviceType O O B-PlantName I-PlantName O 
My pothos plant has yellow leaves Is it a disease or a care issue;plant_disease_advise;O B-PlantName O O B-Symptom I-Symptom O O O O O O O O 
Can you suggest a tall indoor plant for my living room;plant_purchasing_advise;O O O O B-PlantType I-PlantType I-PlantType O O B-Environment I-Environment 
What is the proper watering schedule for a monstera plant;plant_caretaking_advise;O O O O B-AdviceType B-AdviceType O O B-PlantName O 
My peace lily doesnt bloom anymore what should I do;plant_caretaking_advise;O B-PlantName I-PlantName O B-Symptom O O O O O 
What is the ideal temperature and humidity for my fern;plant_caretaking_advise;O O O O B-AdviceType O B-AdviceType O O B-PlantName 
Can I use coffee grounds as a fertilizer for my house plants;plant_caretaking_advise;O O O B-PlantName I-PlantName O O B-AdviceType O O O O 
When is the best time to prune my indoor lemon tree;plant_caretaking_advise;O O O O O O B-AdviceType O B-PlantName I-PlantName I-PlantName 
Please suggest some indoor plants that can purify air;plant_purchasing_advise;O O O O O O O B-PlantType I-PlantType 
What are some great plants for a vertical indoor garden;plant_purchasing_advise;O O O O O O O B-PlantType I-PlantType I-PlantType 
