text,intent,slots
What is the ideal watering schedule for a Zamioculcas Zamiifolia,plant_caretaking_advice,O O O O O O O O PlantName PlantName
My Monstera plant has brown spots on its leaves whats wrong Is there a cure,plant_disease_advice,O PlantName O O O O O O O O O O O O O
What is a good beginnerfriendly succulent to purchase,plant_purchasing_advice,O O O O O O O O
What kind of soil is best for my snake plant,plant_caretaking_advice,O O O O O O O O PlantName PlantName
Can I propagate a rubber plant from a leaf cutting,plant_caretaking_advice,O O O O PlantName PlantName O O O O
What are some animalfriendly plants I should consider buying for my indoor garden,plant_purchasing_advice,O O O O O O O O O O O O O
How do I treat root rot in a fiddle leaf fig,plant_disease_advice,O O O O O O O O PlantName PlantName PlantName
Which indoor plants are best for improving air quality,plant_purchasing_advice,O O O O O O O O O
My aloe vera has started wilting what should I do,plant_caretaking_advice,O PlantName PlantName O O O O O O O
What’s the best way to prevent powdery mildew on my indoor plants,plant_disease_advice,O O O O O O O O O O O O
How do I repot my monstera without damaging the roots,plant_caretaking_advice,O O O O O PlantName O O O O
Can you recommend a flowering plant that does well in partial shade,plant_purchasing_advice,O O O O O O O O O O O O
My Boston fern has brown fronds is it a disease or a lack of watering,plant_disease_advice,O PlantName PlantName O O O O O O O O O O O O
Can you suggest an indoor plant that is safe for cats,plant_purchasing_advice,O O O O O O O O O O O
How often should I water my Peace Lily,plant_caretaking_advice,O O O O O O PlantName PlantName
My rubber plant has leaf tip burn What might be the problem,plant_disease_advice,O PlantName PlantName O O O O O O O O O
What type of plant can add humidity to my home,plant_purchasing_advice,O O O O O O O O O O
How should I care for my indoor bamboo plant,plant_caretaking_advice,O O O O O O O PlantName O
My pothos plant has yellow leaves Is it a disease or a care issue,plant_disease_advice,O PlantName O O O O O O O O O O O O
Can you suggest a tall indoor plant for my living room,plant_purchasing_advice,O O O O O O O O O O O
What is the proper watering schedule for a Money tree,plant_caretaking_advice,O O O O O O O O PlantName PlantName
My Algerian Ivy doesnt bloom anymore what should I do,plant_disease_advice,O PlantName PlantName O O O O O O O
What is the ideal temperature and humidity for my fern,plant_caretaking_advice,O O O O O O O O O PlantName
Can I use coffee grounds as a fertilizer for my house plants,plant_caretaking_advice,O O O O O O O O O O O O
When is the best time to prune my indoor lemon tree,plant_caretaking_advice,O O O O O O O O O PlantName PlantName
Please suggest some indoor plants that can purify air,plant_purchasing_advice,O O O O O O O O O
What are some great plants for a vertical indoor garden,plant_purchasing_advice,O O O O O O O O O O
Which houseplants would thrive in my office with fluorescent lighting,plant_purchasing_advice,O O O O O O O O O O
Can you suggest a plant that doesnt need much sunlight for my bathroom,plant_purchasing_advice,O O O O O O O O O O O O O
What is a nontoxic plant suitable for a house with pets,plant_purchasing_advice,O O O O O O O O O O O
What could be causing the leaves on my jade plant to wrinkle,plant_disease_advice,O O O O O O O O PlantName PlantName O O
My orchid’s roots are turning brown and mushy what can I do,plant_disease_advice,O PlantName O O O O O O O O O O
How can I treat rust on my pilea plant,plant_disease_advice,O O O O O O O PlantName PlantName
Any recommendation for treating aphids on my rose plant,plant_disease_advice,O O O O O O O PlantName PlantName
What can I do if my pilea has mold growing on the soil,plant_disease_advice,O O O O O O PlantName O O O O O O
How often should I repot a peace lily,plant_caretaking_advice,O O O O O O PlantName PlantName
What type of soil is best for growing aloe vera,plant_caretaking_advice,O O O O O O O O PlantName PlantName
How much watering is optimal for a monstera plant,plant_caretaking_advice,O O O O O O O PlantName O
Can you advice on how to prune an overgrown jade plant,plant_caretaking_advice,O O O O O O O O O PlantName PlantName
Do I need to fertilize my indoor ferns,plant_caretaking_advice,O O O O O O O PlantName
Can you recommend a flowering plant that grows well in bright indirect light,plant_purchasing_advice,O O O O O O O O O O O O O
Im looking for a plant that can add a pop of color to my living room any suggestions,plant_purchasing_advice,O O O O O O O O O O O O O O O O O O
Do you have suggestions for petfriendly houseplants,plant_purchasing_advice,O O O O O O O
What are some good plant choices for a home with small children,plant_purchasing_advice,O O O O O O O O O O O O
Could you suggest a good office plant that requires infrequent watering,plant_purchasing_advice,O O O O O O O O O O O
My rose plants leaves are covered in a white powdery substance what is this and how do I treat it,plant_disease_advice,O PlantName O O O O O O O O O O O O O O O O O O
The leaves of my spider plant are turning brown at the tips whats causing this,plant_disease_advice,O O O O PlantName PlantName O O O O O O O O O
My ZZ plant has yellowing leaves what could be wrong,plant_disease_advice,O PlantName PlantName O O O O O O O
How do I get rid of scale insects on my fig tree,plant_disease_advice,O O O O O O O O O O PlantName PlantName
Why are my orchids leaves wrinkled and leathery,plant_disease_advice,O O O PlantName O O O O
I have a ZZ plant How often should I water it,plant_caretaking_advice,O O O PlantName PlantName O O O O O O
What is the best way to prune a fiddle leaf fig,plant_caretaking_advice,O O O O O O O O PlantName PlantName PlantName
My aloe plant seems to be wilting How can I revive it,plant_caretaking_advice,O PlantName O O O O O O O O O O
How much sunlight does a rubber plant need,plant_caretaking_advice,O O O O O PlantName PlantName O
Can I use regular potting soil for my cactus,plant_caretaking_advice,O O O O O O O O PlantName
My indoor space receives very little light What are some plants I can buy,plant_purchasing_advice,O O O O O O O O O O O O O O
I am interested in purchasing a bonsai What kind of care will it require,plant_caretaking_advice,O O O O O O PlantName O O O O O O O
Can you suggest any flowering plants that bloom throughout the year,plant_purchasing_advice,O O O O O O O O O O O
Im considering buying a fern Do they need a specific type of soil,plant_caretaking_advice,O O O O PlantName O O O O O O O O
Im interested in adding a tropical twist to my plant collection What would you recommend,plant_purchasing_advice,O O O O O O O O O O O O O O O
There are black spots on the leaves of my rose plant What could be the cause,plant_disease_advice,O O O O O O O O O PlantName O O O O O O
Ive noticed white powdery substances on my plants How can I treat this,plant_disease_advice,O O O O O O O O O O O O O
The leaves on my orchid are turning yellow and falling off Is it a disease,plant_disease_advice,O O O O PlantName O O O O O O O O O O
My watermelon peperomia has brown tips on its leaves Is it sick,plant_disease_advice,O PlantName PlantName O O O O O O O O O
The flowers on my hydrangea are turning brown What could be the problem,plant_disease_advice,O O O O PlantName O O O O O O O O
How often should I water my air plant,plant_caretaking_advice,O O O O O O PlantName PlantName
My peace lilys leaves are wilting despite regular watering What could be the issue,plant_disease_advice,O PlantName PlantName O O O O O O O O O O O
What sort of care does a rubber plant need to grow well,plant_caretaking_advice,O O O O O O PlantName PlantName O O O O
How should I prune my fern to keep it healthy and compact,plant_caretaking_advice,O O O O O PlantName O O O O O O
Can my poinsettia survive outside the holiday season How can I care for it,plant_caretaking_advice,O O PlantName O O O O O O O O O O O
Im searching for a good air purifying plant What should I consider buying,plant_purchasing_advice,O O O O O O O O O O O O O
Are there any flowering plants suitable for an office with fluorescent lighting,plant_purchasing_advice,O O O O O O O O O O O O
What are some colorful plants that can grow in low light conditions,plant_purchasing_advice,O O O O O O O O O O O O
Can you suggest a few plants that are safe around pets,plant_purchasing_advice,O O O O O O O O O O O
I want to grow a plant in my bathroom What would thrive in a humid environment,plant_purchasing_advice,O O O O O O O O O O O O O O O O
Whats causing the powdery mildew on my lilacs and how can I control it,plant_disease_advice,O O O O O O O PlantName O O O O O O
I think my roses have blackspot fungus How can I confirm and treat this,plant_disease_advice,O O O PlantName O O O O O O O O O O
Are there any organic methods to control aphids on my houseplants,plant_disease_advice,O O O O O O O O O O O
The leaves of my ficus plant are dropping Can this be a sign of a disease,plant_disease_advice,O O O O PlantName O O O O O O O O O O O
My tomato plant leaves are curling and have yellow spots What could be wrong,plant_disease_advice,O PlantName O O O O O O O O O O O O
Should I fertilize my fern plant,plant_caretaking_advice,O O O O PlantName O
How often should I prune my jade plant,plant_caretaking_advice,O O O O O O PlantName PlantName
Whats the optimal watering schedule for a rubber plant,plant_caretaking_advice,O O O O O O O PlantName PlantName
Can my dragon tree survive in indirect sunlight,plant_caretaking_advice,O O PlantName PlantName O O O O
What plant can be a good choice for an office desk with artificial light,plant_purchasing_advice,O O O O O O O O O O O O O O
Can you suggest some flowering plants for a balcony that gets morning sun,plant_purchasing_advice,O O O O O O O O O O O O O
Which edible plants can I grow in a small indoor pot,plant_purchasing_advice,O O O O O O O O O O O
Do you have any recommendations for plants that are safe for cats,plant_purchasing_advice,O O O O O O O O O O O O
What are some plants that can thrive in a bathroom environment,plant_purchasing_advice,O O O O O O O O O O O
My indoor palm has started yellowing at the tips what is wrong,plant_disease_advice,O O PlantName O O O O O O O O O
How can I get rid of aphids on my indoor plants,plant_disease_advice,O O O O O O O O O O O
What can I do about the powdery mildew on my indoor roses,plant_disease_advice,O O O O O O O O O O O PlantName
I spotted some tiny red bugs on my ficus what should I do,plant_disease_advice,O O O O O O O O PlantName O O O O
Is there a treatment for the black mold on my houseplants leaves,plant_disease_advice,O O O O O O O O O O O O
Whats the best way to water succulent plants,plant_caretaking_advice,O O O O O O PlantName O
What are the pruning needs of a Ficus plant,plant_caretaking_advice,O O O O O O O PlantName O
How often should I fertilize my indoor herbs,plant_caretaking_advice,O O O O O O O PlantName
How can I maximize blooms on my butterfly bush,plant_caretaking_advice,O O O O O O O PlantName PlantName
What is the correct pot size for a Monstera deliciosa,plant_caretaking_advice,O O O O O O O O PlantName PlantName
What types of plant would do well in a high humidity environment,plant_purchasing_advice,O O O O O O O O O O O O
I need a recommendation for a plant with colorful foliage for my living room,plant_purchasing_advice,O O O O O O O O O O O O O O
What plant can I buy that is safe for my cat,plant_purchasing_advice,O O O O O O O O O O O
Can you suggest a fragrant indoor plant for my kitchen,plant_purchasing_advice,O O O O O O O O O O
What plants are best for purifying the air in my house,plant_purchasing_advice,O O O O O O O O O O O
How to treat powdery mildew on indoor plants,plant_disease_advice,O O O O O O O O
My plants leaves are curling and drying out What could be wrong,plant_disease_advice,O O O O O O O O O O O O
Can you suggest a treatment for root rot in my gardenia,plant_disease_advice,O O O O O O O O O O PlantName
My indoor fern has yellow and crispy fronds What could be the issue,plant_disease_advice,O O PlantName O O O O O O O O O O
Whats causing the black spots on my tradescantias leaves,plant_disease_advice,O O O O O O O PlantName O
Which is the best method to water an indoor cactus,plant_caretaking_advice,O O O O O O O O O PlantName
Does my ZZ plant need a lot of light to grow,plant_caretaking_advice,O O PlantName PlantName O O O O O O O
Is there a way to encourage my fiddle leaf fig to branch,plant_caretaking_advice,O O O O O O O PlantName PlantName PlantName O O
What should I do if my lucky bamboo talks yellow colour,plant_disease_advice,O O O O O O PlantName PlantName O O O
When should I repot my spider plant,plant_caretaking_advice,O O O O O PlantName PlantName
Can you suggest a small table top plant for my work desk,plant_purchasing_advice,O O O O O O O O O O O O
I am new to gardening Can you suggest some hardy plants for beginners,plant_purchasing_advice,O O O O O O O O O O O O O
Which is the best air purifier plant I can buy,plant_purchasing_advice,O O O O O O O O O O
I am looking for a flowering plant for my sunny balcony Any suggestions,plant_purchasing_advice,O O O O O O O O O O O O O
What are some fast growing indoor plants,plant_purchasing_advice,O O O O O O O
What can cause wilting in stems of my money plant,plant_disease_advice,O O O O O O O O PlantName PlantName
My rubber plant leaves have faint yellow spots what can be the reason,plant_disease_advice,O PlantName PlantName O O O O O O O O O O
How can I treat white mold on my peace lily without using chemicals,plant_disease_advice,O O O O O O O O PlantName PlantName O O O
What should I do when leaves of my aloe plant turn brown at the tips,plant_disease_advice,O O O O O O O O PlantName PlantName O O O O O
Why are the leaves of my indoor palm turning brown,plant_disease_advice,O O O O O O O PlantName O O
What is the best pruning technique for a ficus tree,plant_caretaking_advice,O O O O O O O O PlantName PlantName
Do I need to rotate my indoor plants for them to grow evenly,plant_caretaking_advice,O O O O O O O O O O O O O
How can I increase humidity for my fern,plant_caretaking_advice,O O O O O O O PlantName
What type of soil would be best for my rubber plant,plant_caretaking_advice,O O O O O O O O O PlantName PlantName
Is it necessary to mist my air plant or can it just soak up water,plant_caretaking_advice,O O O O O O PlantName PlantName O O O O O O O
Can you suggest a flowering plant that will do well in a bathroom setting,plant_purchasing_advice,O O O O O O O O O O O O O O
What are some plants known for removing toxins from the air,plant_purchasing_advice,O O O O O O O O O O O
Which plants can grow well on a balcony with direct sun,plant_purchasing_advice,O O O O O O O O O O O
What type of plants would you suggest for a small home office,plant_purchasing_advice,O O O O O O O O O O O O
Can you suggest sturdy plants that can withstand occasional neglect,plant_purchasing_advice,O O O O O O O O O O
My indoor rose bush has black spots on the leaves What should I do,plant_disease_advice,O O PlantName PlantName O O O O O O O O O O
Whats wrong with my plant if the leaves start curling up,plant_disease_advice,O O O O O O O O O O O
How can I treat powdery mildew on my indoor plants,plant_disease_advice,O O O O O O O O O O
What could be the cause of yellowing leaves on my peace lily,plant_disease_advice,O O O O O O O O O O PlantName PlantName
How can I control aphids on my anthurium,plant_disease_advice,O O O O O O O PlantName
How often should I water my spider plant,plant_caretaking_advice,O O O O O O PlantName PlantName
What type of soil is best for growing succulents,plant_caretaking_advice,O O O O O O O O PlantName
Can you guide me on how to repot a rubber plant,plant_caretaking_advice,O O O O O O O O O PlantName PlantName
My fiddle leaf fig has brown edges on the leaves What might be causing this,plant_caretaking_advice,O PlantName PlantName PlantName O O O O O O O O O O O
